This is Ipopt version 3.14.4, running with linear solver MUMPS 5.5.1.

Number of nonzeros in equality constraint Jacobian...:        0
Number of nonzeros in inequality constraint Jacobian.:       24
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:       24
                     variables with only lower bounds:        0
                variables with lower and upper bounds:       24
                     variables with only upper bounds:        0
Total number of equality constraints.................:        0
Total number of inequality constraints...............:        1
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        1
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  84  8.6296258e+00 0.00e+00 5.29e+01  -0.1 2.82e-01    -  1.00e+00 4.76e-01f  2
  85  8.8396797e+00 0.00e+00 5.11e+02   0.2 7.49e-01    -  1.00e+00 6.25e-02f  5
  86  8.7170926e+00 0.00e+00 1.44e+02   0.0 2.47e-02    -  1.00e+00 1.00e+00f  1
  87  8.6563731e+00 0.00e+00 6.90e+01   0.0 1.35e-01    -  1.00e+00 2.50e-01f  3
  88  8.1031758e+00 0.00e+00 9.17e+01   0.0 3.96e-02    -  1.00e+00 1.00e+00f  1
  89  7.6838971e+00 0.00e+00 2.57e+02  -0.0 4.72e-01    -  9.98e-01 1.25e-01f  4
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90  7.3099070e+00 0.00e+00 6.48e+02  -0.9 2.40e-01    -  1.00e+00 4.90e-01f  2
  91  6.2909673e+00 0.00e+00 2.66e+02  -1.5 5.77e-01    -  1.00e+00 2.58e-01f  2
  92  5.8056519e+00 0.00e+00 2.76e+02  -0.7 1.49e-01    -  1.00e+00 1.14e-01f  4
  93  5.0367350e+00 0.00e+00 1.58e+02  -1.0 2.91e-01    -  1.00e+00 1.82e-01f  3
  94  5.0455036e+00 0.00e+00 2.03e+02  -0.4 1.42e+00    -  2.44e-01 5.47e-02f  3
  95  4.8388320e+00 0.00e+00 3.04e+01  -0.8 8.38e-02    -  1.00e+00 2.50e-01f  3
  96  5.9053698e+00 0.00e+00 3.98e+02  -0.0 5.83e-01    -  1.00e+00 2.50e-01f  3
  97  5.8096266e+00 0.00e+00 1.54e+02  -0.2 4.24e-01    -  6.40e-01 1.25e-01f  4
  98  5.3534847e+00 0.00e+00 1.99e+02  -0.2 2.56e-01    -  1.00e+00 2.50e-01f  3
  99  6.9501241e+00 0.00e+00 2.23e+02  -0.2 4.03e-01    -  6.75e-01 5.00e-01f  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100  5.8659878e+00 0.00e+00 1.15e+02  -0.2 1.08e-01    -  1.00e+00 5.00e-01f  2
 101  5.2271230e+00 0.00e+00 2.57e+01  -0.2 3.13e-01    -  1.00e+00 1.25e-01f  4
 102  5.3833968e+00 0.00e+00 5.89e+01  -0.2 1.87e-01    -  1.00e+00 2.50e-01f  3
 103  5.4747082e+00 0.00e+00 6.08e+00  -0.2 2.19e-01    -  1.00e+00 6.25e-02f  5
 104  5.3081349e+00 0.00e+00 2.23e+02  -0.9 2.38e-01    -  9.40e-01 1.25e-01f  4
 105  4.9628866e+00 0.00e+00 2.48e+01  -0.9 3.24e-01    -  1.00e+00 9.15e-02f  4
 106  4.5761427e+00 0.00e+00 5.69e+01  -0.9 3.27e-01    -  8.54e-01 2.50e-01f  3
 107  4.4121220e+00 0.00e+00 3.30e+01  -1.5 3.05e-01    -  1.00e+00 9.38e-02f  4
 108  4.2041202e+00 0.00e+00 6.34e+01  -2.2 5.98e-01    -  1.00e+00 4.73e-02f  4
 109  3.9744424e+00 0.00e+00 5.68e+01  -0.8 4.14e-01    -  1.00e+00 6.08e-02f  4
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110  5.9419863e+00 0.00e+00 1.08e+02  -0.2 3.97e-01    -  6.93e-01 5.00e-01f  2
 111  5.8364291e+00 0.00e+00 5.54e+01  -0.4 5.95e-01    -  1.00e+00 2.20e-02f  6
 112  4.4382316e+00 0.00e+00 8.23e+01  -0.4 8.26e-02    -  1.00e+00 1.00e+00f  1
 113  4.3749242e+00 0.00e+00 2.76e+01  -0.4 2.94e-01    -  1.00e+00 3.12e-02f  6
 114  4.3140222e+00 0.00e+00 5.44e+01  -0.4 4.95e-01    -  1.00e+00 2.05e-02f  6
 115  4.2707487e+00 0.00e+00 6.60e+01  -0.4 1.56e-01    -  1.00e+00 6.25e-02f  5
 116  4.2451052e+00 0.00e+00 1.37e+01  -0.4 2.25e-01    -  1.00e+00 6.25e-02f  5
 117  3.8406617e+00 0.00e+00 6.78e+00  -0.4 9.19e-02    -  1.00e+00 5.00e-01f  2
 118  3.8212724e+00 0.00e+00 5.69e+01  -0.6 2.09e-01    -  9.85e-01 3.12e-02f  6
 119  3.7624631e+00 0.00e+00 1.13e+02  -1.5 2.72e-01    -  1.00e+00 2.49e-01f  3
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120  3.6666748e+00 0.00e+00 7.48e+01  -0.8 3.38e-01    -  9.98e-01 8.47e-02f  4
 121  3.6385131e+00 0.00e+00 1.29e+02  -0.4 3.61e-01    -  1.00e+00 5.33e-02f  5
 122  1.3198917e+01 0.00e+00 5.22e+02   0.5 2.16e+00    -  3.26e-01 2.03e-01f  3
 123  1.3133044e+01 0.00e+00 9.14e+01  -0.0 4.09e-01    -  9.25e-01 6.25e-02f  5
 124  9.2595325e+00 0.00e+00 3.97e+02  -0.0 1.39e+00    -  3.07e-01 1.59e-01f  2
 125  8.1534093e+00 0.00e+00 2.22e+02  -0.0 1.35e+00    -  8.67e-01 3.97e-02f  4
 126  6.8295921e+00 0.00e+00 5.06e+01  -0.0 5.25e-01    -  5.29e-01 1.25e-01f  4
 127  6.5608586e+00 0.00e+00 5.72e+01  -0.0 8.78e-01    -  8.08e-01 3.12e-02f  6
 128  6.1602421e+00 0.00e+00 1.32e+02  -0.0 7.30e-01    -  1.00e+00 5.24e-02f  5
 129  6.0375160e+00 0.00e+00 1.28e+02  -0.0 1.31e-01    -  1.00e+00 2.50e-01f  3
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
